Tahun,Bulan,Tanggal,Suhu_C,Curah_Hujan_Mm,Kelembapan,Dosis_Pupuk (Kg),Umur_Tanaman,Luas_Lahan,Hasil_Panen_Kg,Lokasi,Area_M,Pelepah_Terkena_Penyakit (Kg),Pelepah Terkena Luka Goresan (Kg)
2022,5,5,22.1,10.4,34,0,6,3.5,210,Kemang,3500,3,3
2022,5,6,21.5,18.5,34,0,8,3.5,200,Kemang,3500,2,5
2022,5,7,21.5,1.6,34,0,6,3.5,300,Kemang,3500,3,3
2022,5,9,22.7,25.6,34,0,8,3.5,200,Kemang,3500,1,3
2022,5,10,23,25.6,34,1000,6,3.5,150,Kemang,3500,2,3
2022,5,11,23.2,25.6,34,1000,8,3.5,100,Kemang,3500,1,2
2022,5,12,24.3,25.6,37,1000,6,3.5,250,Kemang,3500,1,6
2022,5,13,22.5,25.6,34,1000,8,3.5,200,Kemang,3500,2,6
2022,5,14,22.6,31.9,34,1000,6,3.5,200,Kemang,3500,6,5
2022,5,15,22.2,31.9,34,1000,8,3.5,200,Kemang,3500,4,2
2022,5,16,22.1,31.9,34,1000,6,3.5,200,Kemang,3500,2,4
2022,5,17,22.2,31.9,34,1000,8,3.5,200,Kemang,3500,5,7
2022,5,18,21.6,31.9,34,1000,6,3.5,200,Kemang,3500,3,5
2022,5,20,22.4,31.9,34,1000,8,3.5,250,Kemang,3500,2,2
2022,5,21,22,31.9,34,1000,6,3.5,200,Kemang,3500,7,2
2022,5,22,22,10.1,34,1000,8,3.5,200,Kemang,3500,1,2
2022,5,23,22.5,6,34,1000,6,3.5,200,Kemang,3500,6,3
2022,5,24,22.1,6,34,1000,8,3.5,200,Kemang,3500,3,3
2022,5,25,22.4,6,34,1000,6,3.5,200,Kemang,3500,6,3
2022,5,26,22.6,21.5,34,1000,8,3.5,200,Kemang,3500,4,3
2022,5,27,21.6,21.5,34,1000,6,3.5,200,Kemang,3500,1,1
2022,5,28,21.9,2.3,34,1000,8,3.5,200,Kemang,3500,5,4
2022,5,29,22,2.5,34,1000,6,3.5,200,Kemang,3500,3,7
2022,5,30,22.4,12,34,1000,8,3.5,200,Kemang,3500,1,3
2022,6,1,22.1,61.9,34,1000,6,3.5,200,Kemang,3500,3,2
2022,6,2,22.5,5.4,34,1000,8,3.5,200,Kemang,3500,4,3
2022,6,3,22.2,1,34,1000,6,3.5,200,Kemang,3500,1,4
2022,6,4,21.3,86.4,34,1000,8,3.5,200,Kemang,3500,6,3
2022,6,5,22.1,10.4,34,1000,6,3.5,200,Kemang,3500,4,2
2022,6,6,21.5,18.5,34,1000,8,3.5,200,Kemang,3500,3,3
2022,6,7,21.5,1.6,34,0,6,3.5,200,Kemang,3500,3,5
2022,6,8,21.9,3.3,34,0,8,3.5,200,Kemang,3500,5,3
2022,6,9,22.7,25.6,34,0,6,3.5,200,Kemang,3500,1,3
2022,6,10,23,25.6,34,0,8,3.5,200,Kemang,3500,1,3
2022,6,11,23.2,25.6,37,0,6,3.5,200,Kemang,3500,3,1
2022,6,12,24.3,25.6,34,0,8,3.5,200,Kemang,3500,4,5
2022,6,14,22.6,31.9,34,0,6,3.5,200,Kemang,3500,4,5
2022,6,15,22.2,31.9,34,0,8,3.5,200,Kemang,3500,3,7
2022,6,16,22.1,31.9,34,0,6,3.5,200,Kemang,3500,3,6
2022,6,17,22.2,31.9,34,0,8,3.5,200,Kemang,3500,7,6
2022,6,18,21.6,31.9,34,0,6,3.5,200,Kemang,3500,4,5
2022,6,19,22.1,31.9,34,0,8,3.5,200,Kemang,3500,6,4
2022,6,20,22.4,31.9,34,0,6,3.5,200,Kemang,3500,2,4
2022,6,21,22,31.9,34,0,8,3.5,200,Kemang,3500,5,7
2022,6,22,22,10.1,34,0,6,3.5,200,Kemang,3500,7,5
2022,6,23,22.5,6,34,0,8,3.5,200,Kemang,3500,7,2
2022,6,24,22.1,6,34,0,6,3.5,200,Kemang,3500,7,2
2022,6,25,22.4,6,34,0,8,3.5,200,Kemang,3500,5,2
2022,6,26,22.6,21.5,34,0,6,3.5,200,Kemang,3500,2,3
2022,6,27,21.6,21.5,34,0,8,3.5,200,Kemang,3500,7,3
2022,6,28,21.9,2.3,34,0,6,3.5,200,Kemang,3500,1,3
2022,6,29,22,2.5,34,0,8,3.5,300,Kemang,3500,7,2
2022,6,30,22.4,12,34,0,6,3.5,200,Kemang,3500,2,3
2022,6,31,22.2,12,34,0,8,3.5,200,Kemang,3500,3,1
2022,7,1,22.3,5.4,34,0,6,3.5,200,Kemang,3500,4,4
2022,7,2,22.3,5.4,34,0,8,3.5,200,Kemang,3500,5,7
2022,7,3,22.2,5.4,34,0,6,3.5,300,Kemang,3500,6,3
2022,7,4,21.3,5.4,34,0,8,3.5,200,Kemang,3500,4,2
2022,7,5,21.8,4,34,0,6,3.5,300,Kemang,3500,3,3
2022,7,6,21.2,4.5,34,0,8,3.5,200,Kemang,3500,3,3
2022,7,7,20.5,4.5,34,0,6,3.5,200,Kemang,3500,3,5
2022,7,8,20.5,16.4,34,0,8,3.5,200,Kemang,3500,5,3
2022,7,15,21.6,4,34,0,6,3.5,300,Kemang,3500,1,3
2022,7,16,21.1,4,34,0,8,3.5,200,Kemang,3500,1,3
2022,7,18,22.5,4,37,0,6,3.5,200,Kemang,3500,3,1
2022,7,19,21,4,34,0,8,3.5,300,Kemang,3500,4,5
2022,7,20,21.1,4,34,0,6,3.5,200,Kemang,3500,4,5
2022,7,21,21.8,4,34,0,8,3.5,200,Kemang,3500,3,7
2022,7,22,21.8,4,34,0,6,3.5,200,Kemang,3500,5,7
2022,7,23,21.3,4,34,0,8,3.5,200,Kemang,3500,7,5
2022,7,24,21.4,4,34,0,6,3.5,200,Kemang,3500,7,2
2022,7,25,21.1,4,34,0,8,3.5,200,Kemang,3500,5,2
2022,7,27,21.5,4.5,34,0,6,3.5,200,Kemang,3500,2,3
2022,7,28,21.4,4.5,34,0,8,3.5,200,Kemang,3500,7,3
2022,7,29,21.2,4.5,34,200,6,3.5,200,Kemang,3500,1,3
2022,7,30,21,4.5,34,200,8,2,200,Kemang,3000,7,2
2022,7,31,21.3,4.5,34,200,6,2,200,Kemang,3000,2,3
2022,8,1,23.2,4,34,200,8,2,200,Kemang,3000,3,1
2022,8,2,21.7,4,34,200,6,2,200,Kemang,3000,5,7
2022,8,3,21.9,4,34,200,6,2,200,Kemang,3000,6,3
2022,8,4,22.5,2.4,34,200,8,2,200,Kemang,3000,4,2
2022,8,5,22,2.4,34,200,6,2,200,Kemang,3000,3,3
2022,8,6,21.3,2.4,34,200,8,2,200,Kemang,3000,3,3
2022,8,7,21.6,2.4,34,200,6,2,200,Kemang,3000,3,5
2022,8,8,21.8,6,34,200,8,2,200,Kemang,3000,5,3
2022,8,9,21.7,6,34,200,6,2,200,Kemang,3000,1,3
2022,8,10,20.7,6,34,200,8,2,200,Kemang,3000,1,3
2022,8,11,21.6,6,37,200,6,2,200,Kemang,3000,3,1
2022,8,12,21.2,6,34,200,8,2,200,Kemang,3000,4,5
2022,8,13,20.6,6,34,200,6,2,200,Kemang,3000,4,5
2022,8,14,21.2,6,34,200,8,2,200,Kemang,3000,3,7
2022,8,15,21.6,6,34,200,6,2,200,Kemang,3000,3,6
2022,8,16,22.1,6,34,200,8,2,200,Kemang,3000,7,6
2022,8,17,21.5,4.3,34,200,6,2,200,Kemang,3000,4,5
2022,8,18,21.1,4.3,34,200,8,2,200,Kemang,3000,6,4
2022,8,19,21.1,4.3,34,200,6,2,200,Kemang,3000,6,2
2022,8,20,21.6,4.3,34,200,8,2,200,Kemang,3000,2,4
2022,8,22,20.7,4.3,34,200,6,2,200,Kemang,3000,5,7
2022,8,23,21.4,4.3,34,200,8,2,200,Kemang,3000,7,5
2022,8,24,21.7,4.3,34,200,6,2,200,Kemang,3000,7,2
2022,8,26,21.5,2,34,200,8,2,200,Kemang,3000,7,2
2022,8,27,21,2,34,200,6,2,200,Kemang,3000,5,2
2022,8,28,20.8,2.4,34,200,8,2,200,Kemang,3000,2,3
2022,8,29,20.8,2.4,34,200,8,2,200,Kemang,3000,1,3
2022,8,30,21.6,2.4,34,200,6,2,200,Kemang,3000,7,2
2022,8,31,21.9,2.4,34,200,8,2,200,Kemang,3000,2,3
2022,9,1,21.5,3,34,0,8,2,200,Kemang,3000,4,4
2022,9,2,21.3,3,34,0,6,2,200,Kemang,3000,5,7
2022,9,3,21.2,3,34,0,8,2,200,Kemang,3000,6,3
2022,9,4,20.7,3,34,0,6,2,200,Kemang,3000,4,2
2022,9,5,21.6,3,34,0,8,2,200,Kemang,3000,3,3
2022,9,7,22.3,3,34,0,6,2,200,Kemang,3000,3,3
2022,9,8,21.9,3,34,0,8,2,200,Kemang,3000,3,5
2022,9,9,21.6,3,34,0,6,2,200,Kemang,3000,5,3
2022,9,10,20.9,1,34,0,8,2,200,Kemang,3000,1,3
2022,9,11,21.5,1,34,0,6,2,200,Kemang,3000,1,3
2022,9,12,22.7,1,37,0,8,2,200,Kemang,3000,3,1
2022,9,14,20.8,1,34,0,8,2,200,Kemang,3000,4,5
2022,9,15,21.9,1,34,0,6,2,200,Kemang,3000,3,7
2022,9,16,21.8,7,34,0,8,2,200,Kemang,3000,3,6
2022,9,17,21.4,7,34,0,6,2,200,Kemang,3000,7,6
2022,9,18,22.9,5,34,0,8,2,200,Kemang,3000,4,5
2022,9,19,21.7,1.6,34,0,6,2,200,Kemang,3000,6,4
2022,9,21,22.5,1,34,0,6,2,200,Kemang,3000,2,4
2022,9,22,22,5,34,0,8,2,200,Kemang,3000,5,7
2022,9,23,21.2,5,34,0,6,2,200,Kemang,3000,7,5
2022,9,24,21.6,5,34,0,8,2,200,Kemang,3000,7,2
2022,9,25,23,5,34,0,6,2,200,Kemang,3000,7,2
2022,9,26,22.2,5,34,0,8,2,200,Kemang,3000,5,2
2022,9,27,23.1,5,34,0,8,2,200,Kemang,3000,7,3
2022,9,28,24.2,5,34,0,6,2,200,Kemang,3000,1,3
2022,9,29,24.7,12,34,0,8,2,200,Kemang,3000,7,2
2022,9,30,21.9,12,34,0,6,2,200,Kemang,3000,2,3
2022,10,1,22.2,12,34,0,8,2,200,Kemang,3000,3,1
2022,10,2,21.8,3.7,34,0,6,2,200,Kemang,3000,4,4
2022,10,3,21.2,1,34,0,8,2,200,Kemang,3000,5,7
2022,10,4,21.9,1,34,0,6,2,200,Kemang,3000,6,3
2022,10,5,22.5,1,34,0,8,2,200,Kemang,3000,4,2
2022,10,6,23,1,34,0,6,2,200,Kemang,3000,3,3
2022,10,7,22.2,4.7,34,1000,8,2,200,Kemang,3000,3,3
2022,10,8,22.8,4.7,34,1000,6,2,200,Kemang,3000,3,5
2022,10,9,22.9,4.7,34,1000,8,2,200,Kemang,3000,5,3
2022,10,10,24.4,4.7,34,1000,6,2,200,Kemang,3000,1,3
2022,10,11,23.2,2.2,34,1000,8,2,200,Kemang,3000,1,3
2022,10,12,22.8,2.2,37,1000,6,2,200,Kemang,3000,3,1
2022,10,13,23,5,34,1000,8,2,200,Kemang,3000,4,5
2022,10,14,23.3,5,34,1000,6,2,200,Kemang,3000,4,5
2022,10,15,22.4,5,34,1000,8,2,200,Kemang,3000,3,7
2022,10,16,23.1,2.4,34,1000,6,2,200,Kemang,3000,3,6
2022,10,17,24.3,2.4,34,1000,8,2,200,Kemang,3000,7,6
2022,10,18,24.2,2.4,34,1000,6,2,200,Kemang,3000,4,5
2022,10,19,23.8,2.4,34,1000,8,2,200,Kemang,3000,6,4
2022,10,20,24.4,2.4,34,1000,6,2,200,Kemang,3000,6,2
2022,10,21,22.4,2.4,34,1000,8,2,200,Kemang,3000,2,4
2022,10,22,22.8,36,34,1000,6,2,200,Kemang,3000,5,7
2022,10,23,23.1,7.6,34,1000,8,2,200,Kemang,3000,7,5
2022,10,24,29.6,7.6,34,1000,6,2,200,Kemang,3000,7,2
2022,10,25,22.6,7.6,34,1000,8,2,200,Kemang,3000,7,2
2022,10,26,21.9,14.8,34,1000,6,2,200,Kemang,3000,5,2
2022,10,27,23.1,6,34,1000,8,2,200,Kemang,3000,2,3
2022,10,28,23.4,6,34,1000,6,2,200,Kemang,3000,7,3
2022,10,29,23.3,6,34,1000,8,2,200,Kemang,3000,1,3
2022,10,30,23.9,6,34,1000,6,2,200,Kemang,3000,7,2
2022,10,31,23.2,6,34,1000,8,2,200,Kemang,3000,2,3
2022,11,1,22.9,6,34,1000,6,2,200,Kemang,3000,3,1
2022,11,2,22.7,7.8,34,1000,8,2,200,Kemang,3000,4,4
2022,11,3,22.4,7.8,34,1000,6,2,200,Kemang,3000,5,7
2022,11,4,22.6,2.3,34,1000,8,2,200,Kemang,3000,6,3
2022,11,5,22.1,24.5,34,1000,6,2,200,Kemang,3000,4,2
2022,11,6,21.8,46.8,34,1000,8,2,200,Kemang,3000,3,3
2022,11,7,23.1,3.9,34,0,6,2,200,Kemang,3000,3,3
2022,11,8,23.3,3.9,34,0,8,2,200,Kemang,3000,3,5
2022,11,9,23.2,3.9,34,0,6,2,200,Kemang,3000,5,3
2022,11,10,23.1,3.9,34,0,8,2,200,Kemang,3000,1,3
2022,11,11,23.1,3.9,34,0,6,2,200,Kemang,3000,1,3
2022,11,12,22.7,3,37,0,8,2,200,Kemang,3000,3,1
2022,11,13,21.7,4,34,0,6,2,200,Kemang,2000,4,5
2022,11,15,22.2,2,34,0,8,2,200,Kemang,2000,4,5
2022,11,16,22.4,40.9,34,0,6,2,200,Kemang,2000,3,7
2022,11,17,22.2,0.4,34,0,8,2,200,Kemang,2000,3,6
2022,11,18,22.8,41.5,34,0,6,2,200,Kemang,2000,7,6
2022,11,20,23.3,2,34,0,8,2,200,Kemang,2000,4,5
2022,11,21,23.2,2,34,0,6,2,200,Kemang,2000,6,4
2022,11,22,22.8,4,34,0,6,2,200,Kemang,2000,2,4
2022,11,23,22.7,8.4,34,0,8,2,200,Kemang,2000,5,7
2022,11,25,21.9,44,34,0,6,2,200,Kemang,2000,7,5
2022,11,26,20.6,24.7,34,0,8,2,200,Kemang,2000,7,2
2022,11,27,22.1,24.7,34,0,6,2,200,Kemang,2000,5,2
2022,11,28,21.6,24.7,34,0,8,2,250,Kemang,2000,2,3
2022,11,29,21.1,24.7,34,0,6,2,200,Kemang,2000,7,3
2022,11,30,22.8,26.2,34,0,8,2,200,Kemang,2000,1,3
2022,11,31,22.1,65.6,34,0,6,2,200,Kemang,2000,2,3
2022,12,1,22.2,12,34,0,8,2,200,Kemang,2000,3,1
2022,12,2,20.9,28.9,34,0,6,2,200,Kemang,2000,4,4
2022,12,3,22.3,5,34,0,8,2,200,Kemang,2000,5,7
2022,12,4,21.7,6,34,0,6,2,200,Kemang,2000,6,3
2022,12,5,20.3,32.6,34,0,8,2,200,Kemang,2000,4,2
2022,12,6,22,6.7,34,0,6,2,200,Kemang,2000,3,3
2022,12,7,22.3,7.6,34,0,8,2,200,Kemang,2000,3,3
2022,12,9,22.5,3,34,0,6,2,200,Kemang,2000,3,5
2022,12,10,22.2,4.6,34,0,8,2,200,Kemang,2000,5,3
2022,12,11,22.8,3,34,0,6,2,200,Kemang,2000,1,3
2022,12,12,22.7,3,34,0,8,2,200,Kemang,2000,1,3
2022,12,13,22.8,3,37,0,6,2,200,Kemang,2000,3,1
2022,12,14,23,3,34,0,8,2,200,Kemang,2000,4,5
2022,12,15,23.1,3,34,0,6,2,200,Kemang,2000,3,7
2022,12,16,22.6,3,34,0,8,2,200,Kemang,2000,3,6
2022,12,17,22.9,2,34,0,6,2,200,Kemang,2000,7,6
2022,12,18,22.9,2,34,0,8,2,200,Kemang,2000,4,5
2022,12,20,21.8,2,34,0,6,2,250,Kemang,2000,6,4
2022,12,21,22.3,2.6,34,0,8,2,200,Kemang,2000,6,2
2022,12,22,22.8,2.6,34,0,6,2,200,Kemang,2000,2,4
2022,12,23,22.9,2.6,34,0,8,2,200,Kemang,2000,5,7
2022,12,24,23.3,2.6,34,0,6,2,200,Kemang,2000,7,5
2022,12,27,21.8,2.2,34,0,8,2,200,Kemang,2000,7,2
2022,12,28,22.2,9.2,34,0,6,2,200,Kemang,2000,5,2
2022,12,29,22.6,29.7,34,0,8,2,200,Kemang,2000,2,3
2022,12,30,22.8,8.3,34,0,6,2,200,Kemang,2000,7,3
2022,12,31,21.7,3,34,0,8,2,200,Kemang,2000,1,3
2022,12,24,23.3,2.6,34,0,6,2,200,Kemang,2000,7,2
2022,12,27,21.8,2.2,34,0,8,2,200,Kemang,2000,4,4
2022,12,28,22.2,9.2,34,0,6,2,200,Kemang,2000,5,7
2022,12,29,22.6,29.7,34,150,8,2,200,Kemang,2000,6,3
2022,12,30,22.8,8.3,34,150,6,2,200,Kemang,2000,4,2
2022,12,31,21.7,3,34,150,8,2,200,Kemang,2000,3,3
2023,1,1,19.6,31.4,34,150,7,2,200,Kemang,2000,3,5
2023,1,2,20.2,1.6,34,150,9,2,150,Kemang,2000,5,3
2023,1,3,19.5,4.1,34,150,7,2,150,Kemang,2000,1,3
2023,1,4,20.4,10.8,34,150,9,2,200,Kemang,2000,1,3
2023,1,5,21.3,10.8,37,150,7,2,100,Kemang,2000,3,1
2023,1,6,22.4,7.8,34,150,5,2,100,Kemang,2000,4,5
2023,1,7,22.2,7.8,34,150,9,2,100,Kemang,2000,4,5
2023,1,8,21.2,0.7,34,150,7,2,300,Kemang,2000,3,7
2023,1,9,21.6,5.5,34,150,5,2,200,Kemang,2000,3,6
2023,1,10,22.4,1.5,34,150,9,2,200,Kemang,2000,7,6
2023,1,11,21.9,1.5,34,150,7,2,300,Kemang,2000,4,5
2023,1,12,22,3.9,34,150,5,2,100,Kemang,2000,6,4
2023,1,13,21.3,3.9,34,150,9,2,200,Kemang,2000,6,2
2023,1,14,21.5,3.9,34,150,7,2,200,Kemang,2000,2,4
2023,1,15,21.8,3.9,34,150,9,2,200,Kemang,2000,5,7
2023,1,16,21.2,1.6,34,150,5,2,200,Kemang,2000,7,5
2023,1,17,20.9,2,34,150,7,2,250,Kemang,2000,7,2
2023,1,18,20.9,3.2,34,150,9,2,260,Kemang,2000,7,2
2023,1,19,20.6,3.2,34,150,7,2,100,Kemang,2000,5,2
2023,1,20,20.9,3.2,34,150,5,2,200,Kemang,2000,2,3
2023,1,21,21.3,0.1,34,150,9,2,100,Kemang,2000,7,3
2023,1,22,22.1,0.1,34,150,7,2,200,Kemang,2000,1,3
2023,1,23,21.7,1.2,34,150,5,2,100,Kemang,2000,7,2
2023,1,24,20.9,3,34,150,9,2,100,Kemang,2000,2,3
2023,1,25,19.5,6.8,34,150,7,2,100,Kemang,2000,3,1
2023,1,26,20.2,17.3,34,150,5,2,150,Kemang,2000,4,4
2023,1,27,20.8,1,34,150,9,2,100,Kemang,2000,5,7
2023,1,28,20,14,34,150,7,2,100,Kemang,2000,6,3
2023,1,29,20.2,39.1,34,150,5,2,100,Kemang,2000,4,2
2023,1,30,21,3.4,34,0,9,2,150,Kemang,2000,3,3
2023,1,31,21.2,3.4,34,0,7,2,200,Kemang,2000,5,4
2023,2,1,20.9,10.4,34,0,5,2,150,Kemang,2000,5,3
2023,2,2,21,1.1,34,0,7,2,200,Kemang,2000,3,3
2023,2,3,20.7,4.9,34,0,9,2,200,Kemang,2000,3,1
2023,2,4,20.6,4.9,34,0,7,2,200,Kemang,2000,7,5
2023,2,5,21.6,4.9,37,0,5,2,200,Kemang,2000,5,5
2023,2,6,21.7,4.9,34,0,9,2,100,Kemang,2000,3,7
2023,2,7,21.6,1.3,34,0,7,2,150,Kemang,2000,2,6
2023,2,8,21.5,0.6,34,0,5,2,150,Kemang,2000,1,6
2023,2,9,20.4,0.6,34,0,9,2,200,Kemang,2000,5,5
2023,2,10,20.9,6.3,34,0,5,2,150,Kemang,2000,3,4
2023,2,11,19.9,10.4,34,0,9,2,150,Kemang,2000,3,2
2023,2,12,19,84.6,34,0,7,2,100,Kemang,2000,1,4
2023,2,13,20.9,30.8,34,0,9,2,100,Kemang,2000,1,7
2023,2,14,21.1,19.5,34,0,5,2,100,Kemang,2000,4,5
2023,2,15,21.2,13.5,34,0,9,2,100,Kemang,2000,3,2
2023,2,16,19.9,25.8,34,0,7,1.4,100,Kemang,1400,4,2
2023,2,17,20.3,5.6,34,0,5,1.4,100,Kemang,1400,7,2
2023,2,18,20.7,13,34,0,9,1.4,100,Kemang,1400,3,3
2023,2,19,20.4,23,34,0,7,1.4,100,Kemang,1400,5,3
2023,2,20,22,9,34,0,5,1.4,150,Kemang,1400,4,3
2023,2,21,20.7,9,34,0,9,1.4,100,Kemang,1400,3,2
2023,2,22,19.6,7.3,34,0,7,1.4,100,Kemang,1400,3,3
2023,2,23,20.1,31.1,34,0,5,1.4,100,Kemang,1400,1,1
2023,2,24,19.8,59,34,0,9,1.4,150,Kemang,1400,6,4
2023,2,25,20.1,51,34,0,7,1.4,150,Kemang,1400,6,7
2023,2,26,19.8,36.2,34,0,5,1.4,200,Kemang,1400,3,3
2023,2,27,19.3,76.5,34,0,9,1.4,100,Kemang,1400,6,2
2023,2,28,19.6,26.5,34,0,7,1.4,100,Kemang,1400,7,3
2023,3,1,19.4,3.2,34,500,5,1.4,100,Kemang,1400,6,3
2023,3,2,18.8,25.7,34,500,9,1.4,100,Kemang,1400,7,3
